I,date,IXIC.Close,BAM
1434,9/14/2015,4805.759766,5.62
1435,9/15/2015,4860.52002,5.54
1436,9/16/2015,4889.240234,5.59
1437,9/17/2015,4893.950195,5.71
1438,9/18/2015,4827.22998,5.8
1439,9/21/2015,4828.950195,5.77
1440,9/22/2015,4756.720215,5.98
1441,9/23/2015,4752.740234,5.98
1442,9/24/2015,4734.47998,6.14
1443,9/25/2015,4686.5,6.15
1444,9/28/2015,4543.970215,6.48
1445,9/29/2015,4517.319824,6.6
1446,9/30/2015,4620.160156,6.62
1447,10/1/2015,4627.080078,6.67
1448,10/2/2015,4707.779785,6.83
1449,10/5/2015,4781.259766,6.62
1450,10/6/2015,4748.359863,6.52
1451,10/7/2015,4791.149902,6.32
1452,10/8/2015,4810.790039,6.26
1453,10/9/2015,4830.470215,6.13
1454,10/12/2015,4838.640137,6.13
1455,10/13/2015,4796.609863,6.24
1456,10/14/2015,4782.850098,6.31
1457,10/15/2015,4870.100098,6.26
1458,10/16/2015,4886.689941,6.18
1459,10/19/2015,4905.470215,6.16
1460,10/20/2015,4880.970215,6.06
1461,10/21/2015,4840.120117,6.07
1462,10/22/2015,4920.049805,6.1
1463,10/23/2015,5031.859863,5.97
1464,10/26/2015,5034.700195,6
1465,10/27/2015,5030.149902,6.07
1466,10/28/2015,5095.689941,5.97
1467,10/29/2015,5074.27002,5.89
1468,10/30/2015,5053.75,5.88
1469,11/2/2015,5127.149902,5.84
1470,11/3/2015,5145.129883,5.77
1471,11/4/2015,5142.47998,5.73
1472,11/5/2015,5127.740234,5.8
1473,11/6/2015,5147.120117,5.82
